95931205;;;;;Kredit;1039,00;;DK4430778 Borgerservice;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1039,00;;DK4430778 Borgerservice;;;;;;;;;;;;;;;;
95931205;;;;;Kredit;1155,00;;DK4430778 Borgerservice;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1155,00;;DK4430778 Borgerservice;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;656,00;;DK3796930 Lindevænget;;;;;;;;;;;;;;;;
90540000;;;;;Debet;656,00;;DK3796930 Lindevænget;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;2863,00;;DK3796914 Kollektivhuset;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2863,00;;DK3796914 Kollektivhuset;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;425,00;;DK3796884 Svaleparken;;;;;;;;;;;;;;;;
90540000;;;;;Debet;425,00;;DK3796884 Svaleparken;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;250,00;;DK2471043 Museum Østjylland;;;;;;;;;;;;;;;;
90540000;;;;;Debet;250,00;;DK2471043 Museum Østjylland;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;30,00;;DK2271311 Affaldsterminalen;;;;;;;;;;;;;;;;
90540000;;;;;Debet;30,00;;DK2271311 Affaldsterminalen;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;114,00;;Nets 7221290 Gaia Cafe ;;;;;;;;;;;;;;;;
90540000;;;;;Debet;114,00;;Nets 7221290 Gaia Cafe ;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;125,00;;DK5541069 Udbyhøj Lystbådehavn;;;;;;;;;;;;;;;;
90540000;;;;;Debet;125,00;;DK5541069 Udbyhøj Lystbådehavn;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;3283,00;;DK3796868 Dronningborg;;;;;;;;;;;;;;;;
90540000;;;;;Debet;3283,00;;DK3796868 Dronningborg;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;66,00;;DK3796663 Vorup Plejehjem;;;;;;;;;;;;;;;;
90540000;;;;;Debet;66,00;;DK3796663 Vorup Plejehjem;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;1973,00;;DK3796930 Lindevænget;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1973,00;;DK3796930 Lindevænget;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;198,50;;undefined - Overførsel 63470645-20230906       Meddelnr. 02968180323250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;198,50;;undefined - Overførsel 63470645-20230906       Meddelnr. 02968180323250;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;93,15;;Teller 7978497;;;;;;;;;;;;;;;;
90540000;;;;;Debet;93,15;;Teller 7978497;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;1281,17;;DK 8537995 Gaia Cafe ;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1281,17;;DK 8537995 Gaia Cafe ;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;5590,68;;Overførsel Nets 0222 8189094;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5590,68;;Overførsel Nets 0222 8189094;;;;;;;;;;;;;;;;
95941202;;;;;Kredit;9,31;;Nets 8674335 internationale kortbetalinger;;;;;;;;;;;;;;;;
90540000;;;;;Debet;9,31;;Nets 8674335 internationale kortbetalinger;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;9357,84;;undefined - Overførsel Kommunernes ydelsess;;;;;;;;;;;;;;;;
90540000;;;;;Debet;9357,84;;undefined - Overførsel Kommunernes ydelsess;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;1410,12;;Teller 7864309;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1410,12;;Teller 7864309;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;25691,68;;Teller 7810906 - Borgerservice Pas, billeder og fingeraftryk;;;;;;;;;;;;;;;;
90540000;;;;;Debet;25691,68;;Teller 7810906 - Borgerservice Pas, billeder og fingeraftryk;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;471,79;;Teller 7670796;;;;;;;;;;;;;;;;
90540000;;;;;Debet;471,79;;Teller 7670796;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;589,49;;Teller 7670789;;;;;;;;;;;;;;;;
90540000;;;;;Debet;589,49;;Teller 7670789;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;2949,84;;Teller 7670788;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2949,84;;Teller 7670788;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;285,49;;Teller 7667973;;;;;;;;;;;;;;;;
90540000;;;;;Debet;285,49;;Teller 7667973;;;;;;;;;;;;;;;;
95931205;;;;;Kredit;16722,29;;Teller 7620659;;;;;;;;;;;;;;;;
90540000;;;;;Debet;16722,29;;Teller 7620659;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;41822,49;;Teller 7555139;;;;;;;;;;;;;;;;
90540000;;;;;Debet;41822,49;;Teller 7555139;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;23062,26;;Teller 7374697;;;;;;;;;;;;;;;;
90540000;;;;;Debet;23062,26;;Teller 7374697;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1500,00;;undefined - Overførsel Bidrag;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1500,00;;undefined - Overførsel Bidrag;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1745,44;;undefined - Overførsel .                       Meddelnr. 02968164723250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1745,44;;undefined - Overførsel .                       Meddelnr. 02968164723250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;219,96;;undefined - Overførsel .                       Meddelnr. 02968159323250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;219,96;;undefined - Overførsel .                       Meddelnr. 02968159323250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;6855,47;;undefined - Overførsel .                       Meddelnr. 02968155123250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;6855,47;;undefined - Overførsel .                       Meddelnr. 02968155123250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;10205,63;;undefined - Overførsel .                       Meddelnr. 02968149423250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;10205,63;;undefined - Overførsel .                       Meddelnr. 02968149423250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;33107,50;;undefined - Overførsel                         Meddelnr. 02968893423250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;33107,50;;undefined - Overførsel                         Meddelnr. 02968893423250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;20900,98;;undefined - Overførsel                         Meddelnr. 02968817723250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;20900,98;;undefined - Overførsel                         Meddelnr. 02968817723250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;3535,00;;undefined - 2209712329;;;;;;;;;;;;;;;;
90540000;;;;;Debet;3535,00;;undefined - 2209712329;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;16990,27;;undefined - 4000000000010609235;;;;;;;;;;;;;;;;
90540000;;;;;Debet;16990,27;;undefined - 4000000000010609235;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2143,65;;undefined - 3000000000010609236;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2143,65;;undefined - 3000000000010609236;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1593,05;;undefined - Udbetaling Danmark                 Meddelnr. 02969637323250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1593,05;;undefined - Udbetaling Danmark                 Meddelnr. 02969637323250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1842,00;;undefined - Udbetaling Danmark                 Meddelnr. 02965170123250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1842,00;;undefined - Udbetaling Danmark                 Meddelnr. 02965170123250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1842,00;;undefined - Udbetaling Danmark                 Meddelnr. 02965158323250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1842,00;;undefined - Udbetaling Danmark                 Meddelnr. 02965158323250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;43811,15;;undefined - Udbetaling fra Skatt               Meddelnr. 02970340623250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;43811,15;;undefined - Udbetaling fra Skatt               Meddelnr. 02970340623250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;5688,00;;undefined - Udbetaling fra Skatt               Meddelnr. 02970252423250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5688,00;;undefined - Udbetaling fra Skatt               Meddelnr. 02970252423250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;34156,00;;undefined - Udbetaling fra Skatt               Meddelnr. 02970101323250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;34156,00;;undefined - Udbetaling fra Skatt               Meddelnr. 02970101323250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;48682,00;;undefined - Udbetaling fra Skatt               Meddelnr. 02966617123250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;48682,00;;undefined - Udbetaling fra Skatt               Meddelnr. 02966617123250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2115,00;;undefined - Silkeborg Kommune                  Meddelnr. 02965553723250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2115,00;;undefined - Silkeborg Kommune                  Meddelnr. 02965553723250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;5526,00;;undefined - Rejsekort:K000006312;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5526,00;;undefined - Rejsekort:K000006312;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;5526,00;;undefined - Rejsekort:K000006311;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5526,00;;undefined - Rejsekort:K000006311;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1995,50;;undefined - Rejsekort:K000006308;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1995,50;;undefined - Rejsekort:K000006308;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;34748,00;;undefined - Mariagerfjord Kommun               Meddelnr. 02971223723250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;34748,00;;undefined - Mariagerfjord Kommun               Meddelnr. 02971223723250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;4879,00;;undefined - Dagpengerefusion                   Meddelnr. 02965568423250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;4879,00;;undefined - Dagpengerefusion                   Meddelnr. 02965568423250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1593,00;;undefined - Dagpenge lønrefusion               Meddelnr. 02968531723250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1593,00;;undefined - Dagpenge lønrefusion               Meddelnr. 02968531723250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2686,00;;undefined - Boligforeningen Kron;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2686,00;;undefined - Boligforeningen Kron;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;6,25;;undefined - Betaling iht. saldo;;;;;;;;;;;;;;;;
90540000;;;;;Debet;6,25;;undefined - Betaling iht. saldo;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;921,00;;undefined - sygerefusion fra Aar               Meddelnr. 19177585023250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;921,00;;undefined - sygerefusion fra Aar               Meddelnr. 19177585023250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;9279,12;;undefined - Udenl. overf. 7464013737050923S103 B230905M1713105;;;;;;;;;;;;;;;;
90540000;;;;;Debet;9279,12;;undefined - Udenl. overf. 7464013737050923S103 B230905M1713105;;;;;;;;;;;;;;;;

Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
95990009;;;;;Kredit;1494,00;;undefined - Cap Viborg Kommune                 Meddelnr. 07004198123249;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1494,00;;undefined - Cap Viborg Kommune                 Meddelnr. 07004198123249;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;27890,00;;undefined - Cap SYGEDAGP.tlf89405555           Meddelnr. 07004263823249;;;;;;;;;;;;;;;;
90540000;;;;;Debet;27890,00;;undefined - Cap SYGEDAGP.tlf89405555           Meddelnr. 07004263823249;;;;;;;;;;;;;;;;
95990009;;;;;Debet;23360,00;;undefined - Cap Sygedagpenge;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;23360,00;;undefined - Cap Sygedagpenge;;;;;;;;;;;;;;;;
95931701;;;;;Debet;1350,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;1350,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;8710,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;8710,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;930,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;930,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;11319,48;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;11319,48;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;854,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;854,00;;Cap NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;20600,00;;undefined - Cap Boliglån;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;20600,00;;undefined - Cap Boliglån;;;;;;;;;;;;;;;;
95910014;;;;;Debet;39920,85;;RG-230908 29 ACONTO;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;39920,85;;RG-230908 29 ACONTO;;;;;;;;;;;;;;;;
90540000;;;;;Debet;39761,17;;Rekvireret udbetalin;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;39761,17;;Rekvireret udbetalin;;;;;;;;;;;;;;;;
95931701;;;;;Debet;13238,24;;NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;13238,24;;NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;8336,82;;NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;8336,82;;NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;43510,50;;NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;43510,50;;NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;10195,00;;NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;10195,00;;NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;109488,01;;NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;109488,01;;NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;3585,94;;NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;3585,94;;NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Debet;11437249,88;;Leverandørudbetaling;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;11437249,88;;Leverandørudbetaling;;;;;;;;;;;;;;;;
90540000;;;;;Debet;4574895,79;;Leverandørudbetaling;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;4574895,79;;Leverandørudbetaling;;;;;;;;;;;;;;;;
95990009;;;;;Debet;50,00;;undefined - Gebyr udland 74640137370509236387  B230905M1713105;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;50,00;;undefined - Gebyr udland 74640137370509236387  B230905M1713105;;;;;;;;;;;;;;;;
91407004;;;;;Kredit;144498,52;;K 89182816;;;;;;;;;;;;;;;;
90540000;;;;;Debet;144498,52;;K 89182816;;;;;;;;;;;;;;;;
91407030;;;;;Kredit;18157,63;;K 86446707;;;;;;;;;;;;;;;;
90540000;;;;;Debet;18157,63;;K 86446707;;;;;;;;;;;;;;;;
91407030;;;;;Kredit;1100,00;;K 86446707;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1100,00;;K 86446707;;;;;;;;;;;;;;;;
91407005;;;;;Kredit;9180,00;;K 86136228;;;;;;;;;;;;;;;;
90540000;;;;;Debet;9180,00;;K 86136228;;;;;;;;;;;;;;;;
91407003;;;;;Kredit;583317,25;;K 84788767;;;;;;;;;;;;;;;;
90540000;;;;;Debet;583317,25;;K 84788767;;;;;;;;;;;;;;;;
91407003;;;;;Kredit;133,60;;K 84788767;;;;;;;;;;;;;;;;
90540000;;;;;Debet;133,60;;K 84788767;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;58777,57;;undefined - Bs betaling KON konto 0970205918;;;;;;;;;;;;;;;;
90540000;;;;;Debet;58777,57;;undefined - Bs betaling KON konto 0970205918;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;10470,00;;undefined - Bgs Pens.Peter B. Jakobs           en 090361-udl. af BS;;;;;;;;;;;;;;;;
90540000;;;;;Debet;10470,00;;undefined - Bgs Pens.Peter B. Jakobs           en 090361-udl. af BS;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2500,00;;undefined - Bgs Pens.Danijel Milenko           vic 240583udl. af BS;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2500,00;;undefined - Bgs Pens.Danijel Milenko           vic 240583udl. af BS;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;5232,00;;undefined - Bgs Pens. Nicklas Hansen           +041188 udbt. af BS;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5232,00;;undefined - Bgs Pens. Nicklas Hansen           +041188 udbt. af BS;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;14096,81;;undefined - Bgs Overførsel                     Meddelnr. 03171944123250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;14096,81;;undefined - Bgs Overførsel                     Meddelnr. 03171944123250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;6176,00;;undefined - Bgs pens. Debbie Bak + 2           10989 udl. af BS;;;;;;;;;;;;;;;;
90540000;;;;;Debet;6176,00;;undefined - Bgs pens. Debbie Bak + 2           10989 udl. af BS;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;5133,00;;undefined - Indbetaling 72000000XG-3397-50;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5133,00;;undefined - Indbetaling 72000000XG-3397-50;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;19,00;;undefined - Indbetaling Sprogcenter Rds.;;;;;;;;;;;;;;;;
90540000;;;;;Debet;19,00;;undefined - Indbetaling Sprogcenter Rds.;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;31,00;;Kontant transaktion Madservice Kronjylland;;;;;;;;;;;;;;;;
90540000;;;;;Debet;31,00;;Kontant transaktion Madservice Kronjylland;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;6650,00;;Depositcard Madservice 011786;;;;;;;;;;;;;;;;
90540000;;;;;Debet;6650,00;;Depositcard Madservice 011786;;;;;;;;;;;;;;;;
90100011;;;;;Kredit;15000,00;;Depositcard CBR 006983;;;;;;;;;;;;;;;;
90540000;;;;;Debet;15000,00;;Depositcard CBR 006983;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;13250,00;;Depositcard Sprogcentret 006980;;;;;;;;;;;;;;;;
90540000;;;;;Debet;13250,00;;Depositcard Sprogcentret 006980;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;1011,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1011,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;25,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;25,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;299,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;299,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;1011,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1011,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;1011,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1011,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;1011,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1011,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;270,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;270,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;270,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;270,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;499,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;499,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;299,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;299,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;270,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;270,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;1011,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1011,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;400,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;400,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;270,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;270,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;270,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;270,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;499,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;499,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;120,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120,00;;DK6256651;;;;;;;;;;;;;;;;
95931206;;;;;Kredit;260,00;;DK6256651;;;;;;;;;;;;;;;;
90540000;;;;;Debet;260,00;;DK6256651;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;1619,00;;DK6201830 Kantinen Kasernen;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1619,00;;DK6201830 Kantinen Kasernen;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;881,00;;DK5991390 Kantinen Sundhedshuset;;;;;;;;;;;;;;;;
90540000;;;;;Debet;881,00;;DK5991390 Kantinen Sundhedshuset;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;3405,00;;DK5846102 Kantinen Laksetorvet;;;;;;;;;;;;;;;;
90540000;;;;;Debet;3405,00;;DK5846102 Kantinen Laksetorvet;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;242,56;;DK5541042 Udbyhøj Lystbådehavn;;;;;;;;;;;;;;;;
90540000;;;;;Debet;242,56;;DK5541042 Udbyhøj Lystbådehavn;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;120,00;;DK5247969 Museum Østjylland;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120,00;;DK5247969 Museum Østjylland;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;200,00;;Dankort-salg 06.09 5078318 050791;;;;;;;;;;;;;;;;
90540000;;;;;Debet;200,00;;Dankort-salg 06.09 5078318 050791;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;226,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;226,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;120,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;262,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;262,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;359,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;359,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;120,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;418,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;418,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;308,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;308,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;96,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;96,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;33,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;33,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;1280,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1280,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;67,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;67,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;48,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;48,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;62,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;62,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;216,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;216,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;165,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;165,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;173,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;173,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;262,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;262,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;95,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;95,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;258,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;258,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;391,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;391,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;305,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;305,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;120,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;113,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;113,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;331,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;331,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;455,00;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;455,00;;DK4922735;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;120,00;;DK4922735;;;;;;;;;;;;;;;;
